시도명,시군구명,도로위계,도로명,종속구분,연장,폭,면적,데이터_출처
부산광역시,중구,길,대청로131번길,주도로,123.0,4.0,492.0,부산
부산광역시,중구,길,대청로134번길,주도로,315.0,3.0,945.0,부산
부산광역시,중구,길,대청로135번길,주도로,351.0,8.0,2808.0,부산
부산광역시,중구,길,대청로137번길,주도로,99.0,6.0,594.0,부산
부산광역시,중구,길,대청로138번길,주도로,173.0,7.0,1211.0,부산
부산광역시,중구,길,대청로141번길,주도로,214.0,6.0,1284.0,부산
부산광역시,중구,길,대청로155번길,주도로,74.0,7.0,518.0,부산
부산광역시,중구,길,대청로156번길,주도로,405.0,8.0,3240.0,부산
부산광역시,중구,길,대청로25번길,주도로,49.0,8.0,392.0,부산
부산광역시,중구,길,대청로35번길,주도로,48.0,8.0,384.0,부산
부산광역시,중구,길,대청로53번길,주도로,216.0,7.0,1512.0,부산
부산광역시,중구,길,대청로90번길,주도로,74.0,6.0,444.0,부산
부산광역시,중구,길,대청로99번길,주도로,256.0,4.0,1024.0,부산
부산광역시,중구,길,대청로99번안길,주도로,85.0,4.0,340.0,부산
